"","sentiment"
"378","Yes"
"379","Yes"
"380","No"
"381","Yes"
"382","Yes"
"383","Yes"
"384","Yes"
"385","Yes"
"386","No"
"387","No"
"388","No"
"389","Yes"
"390","No"
"391","No"
"392","Yes"
"393","Yes"
"394","Yes"
"395","No"
"396","Yes"
"397","Yes"
"398","Yes"
"399","No"
"400","No"
"401","No"
"402","No"
"403","No"
"404","No"
"405","No"
"406","No"
"407","No"
"408","No"
"409","Yes"
"410","No"
"411","No"
"412","No"
"413","Yes"
"414","No"
"415","No"
"416","No"
"417","Yes"
"418","Yes"
"419","Yes"
"420","No"
"421","No"
"422","Yes"
"423","Yes"
"424","No"
"425","Yes"
"426","No"
"427","Yes"
"428","Yes"
"429","Yes"
"430","No"
"431","No"
"432","Yes"
"433","Yes"
"434","Yes"
"435","No"
"436","Yes"
"437","No"
"438","Yes"
"439","Yes"
"440","Yes"
"441","Yes"
"442","No"
"443","No"
"444","No"
"445","No"
"446","Yes"
"447","Yes"
"448","No"
"449","No"
"450","Yes"
"451","Yes"
"452","No"
"453","No"
"454","No"
"455","No"
"456","No"
"457","Yes"
"458","Yes"
"459","Yes"
"460","Yes"
"461","Yes"
"462","No"
"463","No"
"464","Yes"
"465","Yes"
"466","Yes"
"467","Yes"
"468","No"
"469","Yes"
"470","No"
"471","Yes"
"472","No"
"473","Yes"
"474","Yes"
"475","No"
"476","Yes"
"477","No"
"478","No"
"479","Yes"
"480","No"
"481","Yes"
"482","Yes"
"483","No"
"484","Yes"
"485","Yes"
"486","Yes"
"487","No"
"488","Yes"
"489","No"
"490","No"
"491","Yes"
"492","Yes"
"493","Yes"
"494","Yes"
"495","Yes"
"496","Yes"
"497","No"
"498","No"
"499","No"
"500","Yes"
"501","Yes"
"502","No"
"503","Yes"
"504","No"
"505","No"
"506","Yes"
"507","Yes"
"508","No"
"509","Yes"
"510","Yes"
"511","No"
"512","No"
"513","Yes"
"514","Yes"
"515","Yes"
"516","Yes"
"517","No"
"518","No"
"519","No"
"520","No"
"521","No"
"522","No"
"523","No"
"524","No"
"525","No"
"526","No"
"527","Yes"
"528","No"
"529","No"
"530","No"
"531","No"
"532","Yes"
"533","No"
"534","No"
"535","No"
"536","Yes"
"537","Yes"
"538","No"
"539","No"
"540","Yes"
"541","No"
"542","Yes"
"543","No"
"544","Yes"
"545","No"
"546","Yes"
"547","Yes"
"548","No"
"549","No"
"550","Yes"
"551","No"
"552","Yes"
"553","Yes"
"554","No"
"555","No"
"556","No"
"557","No"
"558","Yes"
"559","Yes"
"560","No"
"561","No"
"562","No"
"563","Yes"
"564","Yes"
"565","Yes"
"566","Yes"
"567","No"
"568","No"
"569","No"
"570","No"
"571","No"
"572","Yes"
"573","Yes"
"574","Yes"
"575","No"
"576","No"
"577","Yes"
"578","Yes"
"579","Yes"
"580","Yes"
"581","No"
"582","Yes"
"583","No"
"584","No"
"585","No"
"586","No"
"587","Yes"
"588","Yes"
"589","Yes"
"590","Yes"
"591","No"
"592","No"
"593","No"
"594","Yes"
"595","Yes"
"596","Yes"
"597","Yes"
"598","Yes"
"599","Yes"
"600","No"
"601","Yes"
"602","Yes"
"603","No"
"604","Yes"
"605","Yes"
"606","No"
"607","No"
"608","No"
"609","Yes"
"610","No"
"611","Yes"
"612","No"
"613","Yes"
"614","Yes"
"615","Yes"
"616","No"
"617","No"
"618","No"
"619","Yes"
"620","Yes"
"621","No"
"622","Yes"
"623","Yes"
"624","No"
"625","No"
"626","No"
"627","No"
"628","Yes"
"629","Yes"
"630","No"
"631","No"
"632","No"
"633","Yes"
"634","Yes"
"635","Yes"
"636","No"
"637","Yes"
"638","No"
"639","Yes"
"640","No"
"641","Yes"
"642","No"
"643","Yes"
"644","No"
"645","No"
"646","Yes"
"647","No"
"648","Yes"
"649","No"
"650","Yes"
"651","Yes"
"652","No"
"653","No"
"654","Yes"
"655","No"
"656","Yes"
"657","Yes"
"658","Yes"
"659","Yes"
"660","No"
"661","Yes"
"662","Yes"
"663","No"
"664","Yes"
"665","No"
"666","Yes"
"667","No"
"668","Yes"
"669","Yes"
"670","Yes"
"671","Yes"
"672","No"
"673","No"
"674","Yes"
"675","Yes"
"676","No"
"677","Yes"
"678","Yes"
"679","No"
"680","Yes"
"681","No"
"682","Yes"
"683","No"
"684","Yes"
"685","Yes"
"686","Yes"
"687","Yes"
"688","No"
"689","Yes"
"690","No"
"691","No"
"692","Yes"
"693","Yes"
"694","Yes"
"695","Yes"
"696","Yes"
"697","Yes"
"698","No"
"699","No"
"700","No"
"701","No"
"702","Yes"
"703","Yes"
"704","No"
"705","Yes"
"706","Yes"
"707","No"
"708","No"
"709","Yes"
"710","Yes"
"711","Yes"
"712","Yes"
"713","Yes"
"714","Yes"
"715","No"
"716","No"
"717","No"
"718","No"
"719","Yes"
"720","Yes"
"721","Yes"
"722","No"
"723","Yes"
"724","Yes"
"725","No"
"726","No"
"727","No"
"728","No"
"729","Yes"
"730","Yes"
"731","No"
"732","No"
"733","No"
"734","Yes"
"735","Yes"
"736","No"
"737","Yes"
"738","No"
"739","No"
"740","No"
"741","No"
"742","Yes"
"743","Yes"
"744","Yes"
"745","No"
"746","Yes"
"747","Yes"
"748","Yes"
"749","No"
"750","Yes"
"751","Yes"
"752","Yes"
"753","Yes"
"754","No"
"755","Yes"
"756","Yes"
"757","Yes"
"758","Yes"
"759","Yes"
"760","No"
"761","No"
"762","No"
"763","Yes"
"764","Yes"
"765","Yes"
"766","No"
"767","No"
"768","Yes"
"769","No"
"770","Yes"
"771","No"
"772","No"
"773","Yes"
"774","Yes"
"775","No"
"776","No"
"777","No"
"778","No"
"779","Yes"
"780","Yes"
"781","No"
"782","No"
"783","No"
"784","No"
"785","No"
"786","Yes"
"787","No"
"788","Yes"
"789","No"
"790","No"
"791","No"
"792","No"
"793","No"
"794","No"
"795","Yes"
"796","No"
"797","Yes"
"798","Yes"
"799","Yes"
"800","Yes"
"801","Yes"
"802","Yes"
"803","Yes"
"804","Yes"
"805","No"
"806","Yes"
"807","Yes"
"808","No"
"809","No"
"810","Yes"
"811","Yes"
"812","Yes"
"813","No"
"814","Yes"
"815","Yes"
"816","No"
"817","Yes"
"818","No"
"819","Yes"
"820","No"
"821","No"
"822","Yes"
"823","No"
"824","Yes"
"825","Yes"
"826","No"
"827","No"
"828","Yes"
"829","No"
"830","Yes"
"831","Yes"
"832","No"
"833","Yes"
"834","No"
"835","No"
"836","Yes"
"837","No"
"838","No"
"839","No"
"840","Yes"
"841","Yes"
"842","Yes"
"843","Yes"
"844","No"
"845","No"
"846","No"
"847","No"
"848","Yes"
"849","No"
"850","No"
"851","No"
"852","Yes"
"853","Yes"
"854","No"
"855","Yes"
"856","Yes"
"857","Yes"
"858","Yes"
"859","Yes"
"860","No"
"861","No"
"862","No"
"863","No"
"864","Yes"
"865","Yes"
"866","Yes"
"867","Yes"
"868","Yes"
"869","Yes"
"870","No"
"871","No"
"872","Yes"
"873","Yes"
"874","No"
"875","No"
"876","No"
"877","Yes"
"878","No"
"879","No"
"880","Yes"
"881","No"
"882","Yes"
"883","No"
"884","Yes"
"885","Yes"
"886","No"
"887","No"
"888","No"
"889","No"
"890","Yes"
"891","Yes"
"892","No"
"893","Yes"
"894","Yes"
"895","No"
"896","Yes"
"897","No"
"898","Yes"
"899","No"
"900","No"
"901","Yes"
"902","Yes"
"903","Yes"
"904","Yes"
"905","No"
"906","Yes"
"907","Yes"
"908","Yes"
"909","No"
"910","Yes"
"911","No"
"912","No"
"913","Yes"
"914","No"
"915","Yes"
"916","No"
"917","No"
"918","No"
"919","Yes"
"920","No"
"921","No"
"922","No"
"923","Yes"
"924","Yes"
"925","Yes"
"926","No"
"927","No"
"928","No"
"929","No"
"930","No"
"931","Yes"
"932","Yes"
"933","Yes"
"934","No"
"935","Yes"
"936","Yes"
"937","Yes"
"938","Yes"
"939","No"
"940","No"
"941","Yes"
"942","Yes"
"943","Yes"
"944","No"
"945","Yes"
"946","No"
"947","No"
"948","Yes"
"949","No"
"950","No"
"951","No"
"952","No"
"953","No"
"954","No"
"955","Yes"
"956","Yes"
"957","Yes"
"958","Yes"
"959","No"
"960","No"
"961","Yes"
"962","No"
"963","No"
"964","No"
"965","No"
"966","No"
"967","No"
"968","No"
"969","Yes"
"970","No"
"971","Yes"
"972","No"
"973","Yes"
"974","No"
"975","Yes"
"976","Yes"
"977","Yes"
"978","No"
"979","Yes"
"980","Yes"
"981","Yes"
"982","Yes"
"983","Yes"
"984","No"
"985","No"
"986","Yes"
"987","Yes"
"988","No"
"989","No"
"990","Yes"
"991","No"
"992","Yes"
"993","No"
"994","No"
"995","No"
"996","No"
"997","No"
"998","Yes"
"999","Yes"
"1000","Yes"
"1001","No"
"1002","Yes"
"1003","Yes"
"1004","No"
"1005","Yes"
"1006","No"
"1007","Yes"
"1008","No"
"1009","No"
"1010","No"
"1011","No"
"1012","Yes"
"1013","Yes"
"1014","No"
"1015","Yes"
"1016","Yes"
"1017","Yes"
"1018","No"
"1019","No"
"1020","No"
"1021","No"
"1022","Yes"
"1023","No"
"1024","No"
"1025","No"
"1026","Yes"
"1027","Yes"
"1028","No"
"1029","Yes"
"1030","Yes"
"1031","Yes"
"1032","No"
"1033","No"
"1034","Yes"
"1035","Yes"
"1036","Yes"
"1037","No"
"1038","Yes"
"1039","No"
"1040","Yes"
"1041","Yes"
"1042","No"
"1043","No"
"1044","No"
"1045","No"
"1046","Yes"
"1047","No"
"1048","Yes"
"1049","No"
"1050","Yes"
"1051","No"
"1052","No"
"1053","Yes"
"1054","Yes"
"1055","No"
"1056","No"
"1057","Yes"
"1058","Yes"
"1059","No"
"1060","Yes"
"1061","Yes"
"1062","No"
"1063","No"
"1064","Yes"
"1065","Yes"
"1066","No"
"1067","Yes"
"1068","No"
"1069","No"
"1070","No"
"1071","No"
"1072","Yes"
"1073","No"
"1074","No"
"1075","No"
"1076","No"
"1077","No"
"1078","No"
"1079","No"
"1080","Yes"
"1081","Yes"
"1082","No"
"1083","No"
"1084","Yes"
"1085","No"
"1086","Yes"
"1087","Yes"
"1088","No"
"1089","No"
"1090","No"
"1091","No"
"1092","Yes"
"1093","Yes"
"1094","No"
"1095","Yes"
"1096","No"
"1097","Yes"
"1098","Yes"
"1099","Yes"
"1100","No"
"1101","Yes"
"1102","Yes"
"1103","No"
"1104","Yes"
"1105","Yes"
"1106","No"
"1107","Yes"
"1108","No"
"1109","Yes"
"1110","Yes"
"1111","Yes"
"1112","No"
"1113","Yes"
"1114","No"
"1115","No"
"1116","Yes"
"1117","Yes"
"1118","Yes"
"1119","No"
"1120","No"
"1121","No"
"1122","No"
"1123","No"
"1124","Yes"
"1125","Yes"
"1126","Yes"
"1127","No"
"1128","No"
"1129","No"
"1130","No"
"1131","Yes"
"1132","No"
"1133","Yes"
"1134","No"
"1135","Yes"
"1136","No"
"1137","No"
"1138","Yes"
"1139","No"
"1140","Yes"
"1141","Yes"
"1142","No"
"1143","Yes"
"1144","No"
"1145","Yes"
"1146","No"
"1147","No"
"1148","Yes"
"1149","No"
"1150","No"
"1151","No"
"1152","Yes"
"1153","Yes"
"1154","No"
"1155","Yes"
"1156","Yes"
"1157","Yes"
"1158","No"
"1159","No"
"1160","Yes"
"1161","Yes"
"1162","No"
"1163","Yes"
"1164","Yes"
"1165","No"
"1166","Yes"
"1167","Yes"
"1168","No"
"1169","Yes"
"1170","Yes"
"1171","Yes"
"1172","Yes"
"1173","Yes"
"1174","No"
"1175","Yes"
"1176","No"
"1177","Yes"
"1178","Yes"
"1179","Yes"
"1180","Yes"
"1181","No"
"1182","No"
"1183","No"
"1184","Yes"
"1185","No"
"1186","Yes"
"1187","Yes"
"1188","No"
"1189","No"
"1190","No"
"1191","Yes"
"1192","No"
"1193","No"
"1194","No"
"1195","Yes"
"1196","Yes"
"1197","No"
"1198","No"
"1199","Yes"
"1200","No"
"1201","No"
"1202","Yes"
"1203","No"
"1204","Yes"
"1205","Yes"
"1206","Yes"
"1207","No"
"1208","Yes"
"1209","Yes"
"1210","Yes"
"1211","Yes"
"1212","Yes"
"1213","Yes"
"1214","No"
"1215","Yes"
"1216","No"
"1217","No"
"1218","Yes"
"1219","No"
"1220","No"
"1221","Yes"
"1222","No"
"1223","No"
"1224","Yes"
"1225","Yes"
"1226","No"
"1227","No"
"1228","Yes"
"1229","Yes"
"1230","Yes"
"1231","Yes"
"1232","Yes"
"1233","Yes"
"1234","No"
"1235","No"
"1236","Yes"
"1237","No"
"1238","No"
"1239","Yes"
"1240","No"
"1241","No"
"1242","Yes"
"1243","Yes"
"1244","Yes"
"1245","Yes"
"1246","Yes"
"1247","Yes"
"1248","Yes"
"1249","Yes"
"1250","Yes"
"1251","Yes"
"1252","Yes"
"1253","No"
"1254","No"
"1255","No"
"1256","No"
"1257","Yes"
"1258","No"
"1259","Yes"
"1260","No"
"1261","No"
"1262","No"
"1263","Yes"
"1264","No"
"1265","No"
"1266","Yes"
"1267","No"
"1268","Yes"
"1269","Yes"
"1270","Yes"
"1271","Yes"
"1272","No"
"1273","No"
"1274","No"
"1275","Yes"
"1276","No"
"1277","No"
"1278","Yes"
"1279","No"
"1280","Yes"
"1281","No"
"1282","No"
"1283","No"
"1284","No"
"1285","Yes"
"1286","Yes"
"1287","Yes"
"1288","Yes"
"1289","No"
"1290","No"
"1291","Yes"
"1292","No"
"1293","No"
"1294","Yes"
"1295","No"
"1296","No"
"1297","Yes"
"1298","No"
"1299","Yes"
"1300","No"
"1301","Yes"
"1302","Yes"
"1303","No"
"1304","No"
"1305","Yes"
"1306","Yes"
"1307","No"
"1308","Yes"
"1309","No"
"1310","Yes"
"1311","No"
"1312","No"
"1313","No"
"1314","Yes"
"1315","No"
"1316","No"
"1317","No"
"1318","Yes"
"1319","No"
"1320","No"
"1321","No"
"1322","Yes"
"1323","Yes"
"1324","No"
"1325","No"
"1326","Yes"
"1327","Yes"
"1328","No"
"1329","Yes"
"1330","Yes"
"1331","No"
"1332","Yes"
"1333","Yes"
"1334","Yes"
"1335","No"
"1336","No"
"1337","No"
"1338","Yes"
"1339","Yes"
"1340","Yes"
"1341","Yes"
"1342","No"
"1343","No"
"1344","Yes"
"1345","Yes"
"1346","Yes"
"1347","Yes"
"1348","No"
"1349","Yes"
"1350","Yes"
"1351","Yes"
"1352","No"
"1353","Yes"
"1354","Yes"
"1355","No"
"1356","No"
"1357","Yes"
"1358","No"
"1359","No"
"1360","No"
"1361","Yes"
"1362","Yes"
"1363","Yes"
"1364","Yes"
"1365","Yes"
"1366","Yes"
"1367","No"
"1368","No"
"1369","No"
"1370","No"
"1371","No"
"1372","No"
"1373","Yes"
"1374","No"
"1375","Yes"
"1376","No"
"1377","Yes"
"1378","No"
"1379","Yes"
"1380","Yes"
"1381","No"
"1382","Yes"
"1383","No"
"1384","Yes"
"1385","No"
"1386","Yes"
"1387","Yes"
"1388","No"
"1389","Yes"
"1390","Yes"
"1391","No"
"1392","Yes"
"1393","No"
"1394","No"
"1395","No"
"1396","Yes"
"1397","Yes"
"1398","Yes"
"1399","No"
"1400","No"
"1401","Yes"
"1402","Yes"
"1403","No"
"1404","No"
"1405","Yes"
"1406","No"
"1407","Yes"
"1408","Yes"
"1409","No"
"1410","Yes"
"1411","Yes"
"1412","Yes"
"1413","No"
"1414","Yes"
"1415","No"
"1416","No"
"1417","No"
"1418","No"
"1419","No"
"1420","No"
"1421","No"
"1422","Yes"
"1423","Yes"
"1424","No"
"1425","Yes"
"1426","No"
"1427","No"
"1428","Yes"
"1429","No"
"1430","Yes"
"1431","Yes"
"1432","Yes"
"1433","Yes"
"1434","No"
"1435","Yes"
"1436","No"
"1437","Yes"
"1438","Yes"
"1439","No"
"1440","No"
"1441","Yes"
"1442","Yes"
"1443","No"
"1444","Yes"
"1445","Yes"
"1446","No"
"1447","Yes"
"1448","No"
"1449","Yes"
"1450","Yes"
"1451","No"
"1452","No"
"1453","Yes"
"1454","Yes"
"1455","Yes"
"1456","No"
"1457","No"
"1458","Yes"
"1459","Yes"
"1460","No"
"1461","Yes"
"1462","Yes"
"1463","No"
"1464","No"
"1465","Yes"
"1466","No"
"1467","Yes"
"1468","No"
"1469","No"
"1470","Yes"
"1471","No"
"1472","No"
"1473","No"
"1474","Yes"
"1475","No"
"1476","Yes"
"1477","No"
"1478","Yes"
"1479","Yes"
"1480","No"
"1481","No"
"1482","No"
"1483","No"
"1484","No"
"1485","No"
"1486","No"
"1487","No"
"1488","No"
"1489","No"
"1490","No"
"1491","Yes"
"1492","No"
"1493","No"
"1494","No"
"1495","Yes"
"1496","No"
"1497","Yes"
"1498","No"
"1499","No"
"1500","Yes"
"1501","No"
"1502","No"
"1503","Yes"
"1504","No"
"1505","Yes"
"1506","No"
"1507","No"
"1508","No"
"1509","Yes"
"1510","No"
"1511","Yes"
"1512","No"
"1513","No"
"1514","Yes"
"1515","No"
"1516","Yes"
"1517","No"
"1518","Yes"
"1519","No"
"1520","No"
"1521","No"
"1522","Yes"
"1523","No"
"1524","No"
"1525","No"
"1526","No"
"1527","Yes"
"1528","No"
"1529","Yes"
"1530","Yes"
"1531","Yes"
"1532","No"
"1533","Yes"
"1534","Yes"
"1535","Yes"
"1536","No"
"1537","Yes"
"1538","Yes"
"1539","Yes"
"1540","No"
"1541","Yes"
"1542","No"
"1543","Yes"
"1544","No"
"1545","Yes"
"1546","No"
"1547","No"
"1548","Yes"
"1549","Yes"
"1550","No"
"1551","Yes"
"1552","No"
"1553","No"
"1554","Yes"
"1555","Yes"
"1556","Yes"
"1557","No"
"1558","Yes"
"1559","Yes"
"1560","Yes"
"1561","No"
"1562","No"
"1563","No"
"1564","No"
"1565","No"
"1566","Yes"
"1567","No"
"1568","Yes"
"1569","No"
"1570","No"
"1571","No"
"1572","Yes"
"1573","No"
"1574","Yes"
"1575","No"
"1576","Yes"
"1577","Yes"
"1578","Yes"
"1579","Yes"
"1580","Yes"
"1581","Yes"
"1582","Yes"
"1583","Yes"
"1584","No"
"1585","No"
"1586","Yes"
"1587","Yes"
"1588","No"
"1589","No"
"1590","Yes"
"1591","Yes"
"1592","Yes"
"1593","No"
"1594","Yes"
"1595","Yes"
"1596","Yes"
"1597","No"
"1598","No"
"1599","No"
"1600","No"
"1601","No"
"1602","Yes"
"1603","Yes"
"1604","Yes"
"1605","No"
"1606","Yes"
"1607","Yes"
"1608","Yes"
"1609","No"
"1610","No"
"1611","Yes"
"1612","No"
"1613","Yes"
"1614","Yes"
"1615","No"
"1616","No"
"1617","No"
"1618","Yes"
"1619","No"
"1620","Yes"
"1621","Yes"
"1622","Yes"
"1623","No"
"1624","No"
"1625","Yes"
"1626","No"
"1627","Yes"
"1628","Yes"
"1629","No"
"1630","No"
"1631","No"
"1632","No"
"1633","Yes"
"1634","No"
"1635","No"
"1636","No"
"1637","Yes"
"1638","Yes"
"1639","No"
"1640","No"
"1641","Yes"
"1642","No"
"1643","Yes"
"1644","No"
"1645","No"
"1646","Yes"
"1647","No"
"1648","No"
"1649","Yes"
"1650","Yes"
"1651","Yes"
"1652","Yes"
"1653","Yes"
"1654","Yes"
"1655","No"
"1656","Yes"
"1657","Yes"
"1658","Yes"
"1659","Yes"
"1660","Yes"
"1661","No"
"1662","No"
"1663","No"
"1664","Yes"
"1665","No"
"1666","Yes"
"1667","No"
"1668","No"
"1669","No"
"1670","No"
"1671","Yes"
"1672","No"
"1673","Yes"
"1674","Yes"
"1675","Yes"
"1676","No"
"1677","No"
"1678","Yes"
"1679","No"
"1680","No"
"1681","No"
"1682","No"
"1683","No"
"1684","No"
"1685","Yes"
"1686","Yes"
"1687","No"
"1688","Yes"
"1689","Yes"
"1690","No"
"1691","Yes"
"1692","No"
"1693","No"
"1694","Yes"
"1695","Yes"
"1696","Yes"
"1697","Yes"
"1698","No"
"1699","Yes"
"1700","Yes"
"1701","No"
"1702","Yes"
"1703","No"
"1704","Yes"
"1705","No"
"1706","Yes"
"1707","No"
"1708","No"
"1709","Yes"
"1710","Yes"
"1711","No"
"1712","Yes"
"1713","No"
"1714","No"
"1715","No"
"1716","No"
"1717","Yes"
"1718","No"
"1719","Yes"
"1720","No"
"1721","Yes"
"1722","No"
"1723","No"
"1724","Yes"
"1725","No"
"1726","Yes"
"1727","No"
"1728","No"
"1729","Yes"
"1730","Yes"
"1731","No"
"1732","No"
"1733","Yes"
"1734","No"
"1735","Yes"
"1736","Yes"
"1737","Yes"
"1738","No"
"1739","Yes"
"1740","Yes"
"1741","No"
"1742","No"
"1743","No"
"1744","Yes"
"1745","No"
"1746","Yes"
"1747","No"
"1748","No"
"1749","No"
"1750","Yes"
"1751","No"
"1752","Yes"
"1753","Yes"
"1754","Yes"
"1755","No"
"1756","Yes"
"1757","No"
"1758","No"
"1759","Yes"
"1760","Yes"
"1761","No"
"1762","Yes"
"1763","No"
"1764","No"
"1765","Yes"
"1766","Yes"
"1767","No"
"1768","No"
"1769","No"
"1770","Yes"
"1771","Yes"
"1772","No"
"1773","No"
"1774","No"
"1775","Yes"
"1776","Yes"
"1777","Yes"
"1778","No"
"1779","No"
"1780","Yes"
"1781","No"
"1782","Yes"
"1783","Yes"
"1784","Yes"
"1785","Yes"
"1786","No"
"1787","Yes"
"1788","Yes"
"1789","No"
"1790","No"
"1791","No"
"1792","Yes"
"1793","No"
"1794","Yes"
"1795","No"
"1796","No"
"1797","Yes"
"1798","No"
"1799","No"
"1800","Yes"
"1801","No"
"1802","No"
"1803","No"
"1804","No"
"1805","No"
"1806","Yes"
"1807","No"
"1808","Yes"
"1809","No"
"1810","Yes"
"1811","Yes"
"1812","Yes"
"1813","No"
"1814","No"
"1815","Yes"
"1816","No"
"1817","Yes"
"1818","Yes"
"1819","Yes"
"1820","No"
"1821","Yes"
"1822","No"
"1823","Yes"
"1824","No"
"1825","No"
"1826","Yes"
"1827","No"
"1828","Yes"
"1829","Yes"
"1830","No"
"1831","Yes"
"1832","No"
"1833","No"
"1834","Yes"
"1835","No"
"1836","Yes"
"1837","No"
"1838","Yes"
"1839","No"
"1840","Yes"
"1841","No"
"1842","Yes"
"1843","No"
"1844","No"
"1845","No"
"1846","No"
"1847","No"
"1848","No"
"1849","Yes"
"1850","Yes"
"1851","Yes"
"1852","No"
"1853","Yes"
"1854","Yes"
"1855","No"
"1856","Yes"
"1857","Yes"
"1858","No"
"1859","Yes"
"1860","Yes"
"1861","No"
"1862","Yes"
"1863","Yes"
"1864","Yes"
"1865","Yes"
"1866","No"
"1867","No"
"1868","No"
"1869","Yes"
"1870","No"
"1871","Yes"
"1872","No"
